Felipe Lira Santana Silva - Bolsista do CNPQ modalidade PIBIC - Unifei
Projeto de Pesquisa: Futebol Simulado 2D-Uma aplicação de Aprendizagem por reforço
Estados: 82944 Ações: 13
Resultados da Aprendizagem por Reforco
Jogador 7
Inicio
Gols a favor;Gols contra;Contagem das ações 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12;Iteracoes;Numero do Jogo
0;0;0;0;0;0;0;0;0;0;0;0;90;85;113;287;0
0;1;18;14;15;18;21;9;15;18;17;1;57;77;82;648;1
0;0;0;0;0;0;0;0;0;0;0;0;25;27;28;727;2
0;0;0;0;0;0;0;0;0;0;0;0;60;59;82;927;3
0;0;0;0;0;0;0;0;0;0;0;0;19;19;18;982;4
0;0;17;21;24;33;36;26;30;25;25;0;9;5;9;1241;5
0;0;18;20;28;16;15;14;17;26;16;0;10;7;12;1439;6
0;5;51;50;62;64;79;53;59;56;58;7;159;151;166;2453;7
0;1;34;39;42;44;34;39;28;43;31;7;97;92;88;3070;8
0;0;2;2;4;2;3;1;2;1;2;3;41;47;39;3218;9
0;4;13;15;23;13;11;19;16;12;14;136;163;145;141;3938;10
0;2;3;5;4;4;5;2;4;5;3;35;35;30;28;4100;11
0;0;6;4;10;4;9;8;7;5;6;104;122;92;104;4580;12
0;2;9;10;15;14;20;14;14;14;12;151;176;151;158;5337;13
0;0;2;6;5;2;5;3;2;4;2;39;34;36;27;5503;14
0;2;16;15;10;9;15;14;13;13;8;85;94;82;87;5963;15
0;0;0;4;3;0;3;2;3;3;3;11;5;4;11;6014;16
0;1;13;13;12;10;13;17;10;8;5;88;107;90;97;6496;17
0;0;4;7;8;4;7;4;5;10;5;51;53;55;49;6757;18
0;0;25;23;23;18;28;21;22;29;23;257;282;260;271;8038;19
0;0;2;8;2;6;3;6;7;3;1;70;70;58;62;8335;20
0;4;55;73;73;64;83;59;62;73;72;599;642;655;654;11498;21
0;1;33;41;26;30;34;21;28;29;26;490;491;464;476;13686;22
0;3;33;40;40;42;50;32;47;37;44;460;486;439;468;15903;23
0;3;26;34;24;28;29;35;26;36;34;463;508;525;502;18172;24
0;0;11;13;16;12;16;14;18;11;14;91;109;87;90;18673;25
0;1;91;84;82;85;66;65;70;85;85;1039;1074;997;1054;23549;26
0;6;55;45;47;45;59;40;48;42;47;464;456;458;455;25809;27
0;2;63;23;34;29;24;25;33;22;26;462;439;443;456;27887;28
0;0;99;110;100;103;105;110;117;101;107;487;509;531;509;30877;29
