Felipe Lira Santana Silva - Bolsista do CNPQ modalidade PIBIC - Unifei
Projeto de Pesquisa: Futebol Simulado 2D-Uma aplicação de Aprendizagem por reforço
Estados: 82944 Ações: 13
Resultados da Aprendizagem por Reforco
Jogador 2
Inicio
Gols a favor;Gols contra;Contagem das ações 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12;Iteracoes;Numero do Jogo
0;0;0;0;0;0;0;0;0;0;0;0;84;102;103;288;0
0;1;15;13;15;15;18;24;14;12;18;44;48;71;53;647;1
0;0;0;0;0;0;0;0;0;0;0;0;22;30;25;723;2
0;0;0;0;0;0;0;0;0;0;0;0;53;66;65;906;3
0;0;0;0;0;0;0;0;0;0;0;0;16;23;14;958;4
0;0;32;19;25;26;16;35;28;34;27;0;7;8;6;1220;5
0;0;21;17;21;17;19;24;18;18;15;2;10;11;6;1418;6
0;5;62;47;58;63;54;67;69;57;52;11;151;167;155;2430;7
0;1;41;25;35;35;38;32;38;33;44;3;101;96;85;3035;8
0;0;1;1;4;1;1;2;2;2;2;1;41;59;33;3184;9
0;4;14;18;13;17;15;14;14;18;12;159;131;138;165;3911;10
0;2;2;4;2;3;4;3;3;3;1;39;28;30;43;4075;11
0;0;6;9;6;2;9;10;4;10;7;108;99;100;112;4556;12
0;2;18;18;13;5;13;21;14;17;12;170;144;154;161;5315;13
0;0;4;4;2;3;3;4;5;6;2;34;29;32;41;5483;14
0;2;10;9;12;9;14;8;7;8;9;92;84;83;111;5938;15
0;0;2;1;1;0;0;6;2;2;1;9;6;11;11;5989;16
0;1;8;5;6;6;7;13;7;6;6;114;93;97;120;6476;17
0;0;0;0;0;0;0;0;0;0;0;70;53;63;77;6738;18
0;0;20;20;25;28;25;21;20;31;18;285;246;262;285;8023;19
0;0;2;4;3;1;2;2;0;2;1;76;54;67;84;8320;20
0;4;61;43;50;45;68;48;48;52;56;697;597;648;665;11397;21
0;1;49;44;43;37;44;43;43;40;46;472;409;447;459;13572;22
0;3;55;50;45;30;44;44;41;56;43;490;401;464;449;15783;23
0;3;40;32;31;29;42;35;25;36;32;527;444;494;477;18026;24
0;0;7;7;9;6;7;10;10;8;7;110;86;95;123;18510;25
0;1;77;78;67;67;72;79;69;83;54;1059;986;1062;1106;23368;26
0;6;55;46;32;49;59;49;44;36;40;476;435;448;468;25604;27
0;2;89;48;46;60;44;58;48;57;41;387;378;398;406;27663;28
