Felipe Lira Santana Silva - Bolsista do CNPQ modalidade PIBIC - Unifei
Projeto de Pesquisa: Futebol Simulado 2D-Uma aplicação de Aprendizagem por reforço
Estados: 82944 Ações: 13
Resultados da Aprendizagem por Reforco
Jogador 4
Inicio
Gols a favor;Gols contra;Contagem das ações 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12;Iteracoes;Numero do Jogo
0;0;0;0;0;0;0;0;0;0;0;0;98;92;99;288;0
0;1;22;14;18;14;12;24;9;11;17;1;73;64;79;645;1
0;0;0;0;0;0;0;0;0;0;0;0;27;17;30;718;2
0;0;0;0;0;0;0;0;0;0;0;0;71;63;65;916;3
0;0;0;0;0;0;0;0;0;0;0;0;16;13;20;964;4
0;0;25;20;26;18;17;30;21;32;27;0;7;7;7;1200;5
0;0;23;18;20;13;21;20;20;18;14;0;10;10;10;1396;6
0;5;70;55;56;51;66;53;60;62;52;5;166;169;145;2405;7
0;1;33;45;32;41;33;34;43;44;40;6;94;89;97;3035;8
0;0;0;0;2;0;0;0;0;0;0;1;51;48;47;3183;9
0;4;17;19;21;14;18;15;17;23;19;157;126;127;158;3913;10
0;2;2;9;4;5;6;1;6;7;4;35;22;28;33;4074;11
0;0;11;9;15;8;12;7;7;12;15;108;82;94;101;4554;12
0;2;10;15;20;8;17;14;18;19;20;165;136;149;166;5310;13
0;0;0;4;0;2;4;2;2;1;2;47;27;36;40;5476;14
0;2;10;10;9;5;8;7;12;7;12;107;75;90;104;5931;15
0;0;0;2;2;1;4;2;2;3;2;11;6;7;10;5982;16
0;1;5;6;10;9;9;9;9;1;9;106;87;102;113;6456;17
0;0;0;0;0;0;0;0;0;0;0;70;53;67;73;6718;18
0;0;9;12;10;11;14;14;13;15;15;303;262;296;309;8000;19
0;0;5;5;11;2;6;8;7;7;9;73;43;62;60;8297;20
0;4;44;54;57;68;71;61;52;58;43;659;680;646;695;11484;21
0;1;25;29;28;33;28;40;40;34;33;471;462;472;483;13661;22
0;3;30;47;47;36;40;40;45;34;38;473;450;458;484;15882;23
0;3;39;38;44;39;31;47;44;31;40;491;471;486;478;18160;24
0;0;6;8;12;5;10;10;6;4;6;116;93;110;107;18652;25
0;1;60;56;74;67;81;63;69;58;65;1073;1031;1092;1091;23531;26
0;6;44;36;44;42;51;47;40;51;46;470;438;459;493;25791;27
0;2;51;23;21;33;31;24;31;36;27;429;427;449;468;27840;28
0;0;100;93;103;86;92;83;96;95;106;520;515;537;562;30830;29
0;0;65;79;68;66;72;67;69;63;62;312;337;334;315;32747;30
0;0;10;0;0;0;0;0;0;0;0;20;25;21;19;32844;31
0;0;25;13;12;15;15;13;14;13;13;1145;1029;1024;1065;37239;32
0;0;166;19;9;17;27;33;21;24;23;1207;1135;1314;1137;37975;32
0;0;0;0;0;0;0;0;0;0;0;149;150;154;149;38576;33
0;0;0;0;0;0;0;0;0;0;0;132;156;167;171;38600;33
