Felipe Lira Santana Silva - Bolsista do CNPQ modalidade PIBIC - Unifei
Projeto de Pesquisa: Futebol Simulado 2D-Uma aplicação de Aprendizagem por reforço
Estados: 82944 Ações: 13
Resultados da Aprendizagem por Reforco
Jogador 8
Inicio
Gols a favor;Gols contra;Contagem das ações 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12;Iteracoes;Numero do Jogo
0;0;0;0;0;0;0;0;0;0;0;0;81;105;104;289;0
0;1;23;17;17;13;17;13;15;13;16;13;59;64;81;649;1
0;0;0;0;0;0;0;0;0;0;0;0;25;27;23;723;2
0;0;0;0;0;0;0;0;0;0;0;0;55;78;70;925;3
0;0;0;0;0;0;0;0;0;0;0;0;18;19;15;976;4
0;0;22;24;26;26;30;25;34;31;24;1;10;8;10;1246;5
0;0;11;23;25;17;22;17;19;17;17;4;8;12;6;1443;6
0;5;71;42;50;61;65;70;64;59;75;10;160;159;156;2484;7
0;1;43;34;39;45;37;30;31;40;39;2;98;95;88;3104;8
0;0;9;6;5;4;8;3;9;8;0;0;34;33;33;3255;9
0;4;17;18;20;24;24;30;22;13;18;124;145;140;133;3982;10
0;2;2;7;5;4;9;9;6;2;4;31;32;30;24;4146;11
0;0;12;14;12;26;26;20;14;11;9;86;97;92;79;4643;12
0;2;16;22;14;16;27;24;23;16;25;136;150;142;157;5410;13
0;0;2;8;6;4;3;4;4;4;6;35;33;30;29;5577;14
0;2;13;15;11;9;12;12;9;8;12;89;95;89;87;6037;15
0;0;1;2;4;2;5;3;1;0;3;9;7;6;9;6088;16
0;1;4;7;8;10;11;19;11;8;8;94;109;91;93;6560;17
0;0;12;20;10;25;17;20;22;9;13;38;25;23;28;6821;18
0;0;34;48;24;48;45;53;45;36;42;230;249;227;204;8105;19
0;0;5;8;7;18;13;11;12;9;12;58;51;48;46;8402;20
0;4;64;62;68;62;84;67;66;68;43;643;633;650;647;11558;21
0;1;49;50;54;54;50;54;59;47;44;426;433;457;429;13763;22
0;3;50;51;51;61;42;44;38;52;47;431;426;464;451;15970;23
0;3;24;43;32;53;44;36;48;30;41;480;473;494;473;18240;24
0;0;9;8;8;9;10;10;8;8;9;102;116;103;99;18738;25
0;1;84;93;77;104;100;79;78;80;74;1009;1013;1038;1043;23609;26
0;6;56;54;60;44;57;64;48;58;45;464;422;443;441;25864;27
0;2;101;57;44;48;70;53;48;53;54;366;404;380;390;27931;28
0;0;35;30;39;35;27;34;32;35;42;655;657;682;685;30921;29
0;0;13;20;16;16;16;13;14;15;18;425;447;438;451;32823;30
0;0;8;6;5;6;6;6;9;12;6;9;2;6;4;32908;31
