Felipe Lira Santana Silva - Bolsista do CNPQ modalidade PIBIC - Unifei
Projeto de Pesquisa: Futebol Simulado 2D-Uma aplicação de Aprendizagem por reforço
Estados: 82944 Ações: 13
Resultados da Aprendizagem por Reforco
Jogador 9
Inicio
Gols a favor;Gols contra;Contagem das ações 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12;Iteracoes;Numero do Jogo
0;0;0;0;0;0;0;0;0;0;0;0;109;79;101;288;0
0;1;11;11;14;17;13;16;16;10;16;1;101;91;76;680;1
0;0;0;0;0;0;0;0;0;0;0;13;21;20;23;756;2
0;0;0;0;0;0;0;0;0;0;0;1;74;58;71;959;3
0;0;0;0;0;0;0;0;0;0;0;0;22;20;16;1016;4
0;0;20;23;27;31;23;24;34;19;29;0;9;8;7;1269;5
0;0;17;15;21;22;17;17;24;14;23;0;10;10;8;1466;6
0;5;63;62;67;54;69;56;72;59;70;10;162;144;170;2523;7
0;1;30;41;42;37;31;41;40;38;37;3;100;92;87;3141;8
0;0;1;6;5;2;1;4;3;1;2;0;50;40;36;3291;9
0;4;4;6;2;4;5;5;9;4;6;168;181;175;176;4035;10
0;2;0;3;0;1;1;0;4;1;4;29;49;35;36;4197;11
0;0;3;2;1;5;5;2;3;3;1;108;132;120;117;4698;12
0;2;5;5;3;9;3;11;6;5;4;183;198;178;181;5488;13
0;0;5;1;1;4;3;1;3;1;3;32;45;30;39;5655;14
0;2;9;8;5;9;5;6;18;6;4;88;107;97;100;6116;15
0;0;0;2;0;1;1;0;1;0;1;9;14;11;13;6168;16
0;1;9;6;3;2;5;3;5;0;6;95;119;109;115;6644;17
0;0;2;1;0;1;2;1;0;0;1;52;79;62;61;6905;18
0;0;30;26;33;23;17;21;21;20;25;255;285;274;253;8187;19
0;0;19;9;10;15;11;12;17;11;10;34;57;42;51;8484;20
0;4;19;31;27;29;28;22;31;17;22;706;749;755;753;11672;21
0;1;11;16;9;17;16;13;14;18;15;509;544;537;514;13904;22
0;3;24;29;25;29;27;28;29;22;20;486;520;516;500;16158;23
0;3;19;23;16;21;17;14;17;25;14;516;550;540;530;18459;24
0;0;6;2;3;4;2;2;3;1;6;112;125;118;120;18962;25
0;1;99;110;100;107;100;87;113;83;107;966;1027;1022;1049;23931;26
0;6;43;28;28;23;19;23;22;26;14;502;509;502;531;26200;27
0;2;69;22;21;20;26;17;34;18;22;465;494;413;478;28298;28
