Felipe Lira Santana Silva - Bolsista do CNPQ modalidade PIBIC - Unifei
Projeto de Pesquisa: Futebol Simulado 2D-Uma aplicação de Aprendizagem por reforço
Estados: 82944 Ações: 13
Resultados da Aprendizagem por Reforco
Jogador 3
Inicio
Gols a favor;Gols contra;Contagem das ações 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12;Iteracoes;Numero do Jogo
0;0;0;0;0;0;0;0;0;0;0;76;71;63;78;287;0
0;1;22;12;17;14;15;18;9;18;17;14;62;69;72;645;1
0;0;0;0;0;0;0;0;0;0;0;0;19;28;25;716;2
0;0;0;0;0;0;0;0;0;0;0;0;46;73;60;894;3
0;0;0;0;0;0;0;0;0;0;0;0;14;17;17;941;4
0;0;23;24;29;30;19;27;19;30;30;0;7;8;10;1196;5
0;0;16;12;20;20;15;25;14;23;24;0;9;11;10;1394;6
0;5;55;62;73;53;50;58;60;62;52;24;140;155;167;2404;7
0;1;38;40;39;50;29;29;33;42;40;10;86;99;88;3026;8
0;0;1;1;0;0;3;0;1;2;1;0;40;44;50;3168;9
0;4;18;5;7;14;8;10;10;6;8;158;159;161;151;3882;10
0;2;1;3;1;1;3;1;3;1;3;32;39;36;38;4043;11
0;0;6;11;7;8;8;6;6;13;3;93;98;110;107;4518;12
0;2;11;13;12;13;11;9;10;13;8;155;173;159;160;5264;13
0;0;1;1;2;1;4;3;2;1;3;33;40;38;38;5430;14
0;2;7;8;10;9;4;11;14;7;8;80;95;102;98;5882;15
0;0;1;1;0;1;1;1;0;1;2;8;9;10;17;5933;16
0;1;6;3;10;7;10;6;9;8;7;100;102;104;103;6407;17
0;0;0;0;0;0;0;0;0;0;0;66;65;70;61;6668;18
0;0;15;18;19;13;13;13;22;15;17;286;291;280;283;7952;19
0;0;7;5;9;10;8;3;11;4;14;54;56;60;57;8249;20
0;4;71;50;42;61;53;50;52;39;46;667;644;676;639;11338;21
0;1;53;54;37;40;41;50;52;35;42;411;439;435;462;13488;22
0;3;46;39;40;59;47;45;41;44;39;428;448;451;468;15682;23
0;3;28;38;28;31;24;28;18;28;18;476;508;490;529;17925;24
0;0;7;7;5;9;4;3;1;3;6;110;115;112;109;18415;25
0;1;50;46;50;46;41;50;48;45;50;1147;1075;1118;1089;23269;26
0;6;55;41;55;41;28;35;48;32;54;457;448;479;427;25468;27
0;2;77;59;51;59;55;50;44;51;68;383;395;396;358;27513;28
0;0;13;6;6;9;5;5;1;7;8;6;6;4;14;27603;29
