Felipe Lira Santana Silva - Bolsista do CNPQ modalidade PIBIC - Unifei
Projeto de Pesquisa: Futebol Simulado 2D-Uma aplicação de Aprendizagem por reforço
Estados: 82944 Ações: 13
Resultados da Aprendizagem por Reforco
Jogador 5
Inicio
Gols a favor;Gols contra;Contagem das ações 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12;Iteracoes;Numero do Jogo
0;0;0;0;0;0;0;0;0;0;0;0;84;102;102;287;0
0;1;15;14;22;17;16;21;18;9;9;6;69;74;69;645;1
0;0;0;0;0;0;0;0;0;0;0;16;20;14;21;715;2
0;0;0;0;0;0;0;0;0;0;0;0;53;66;59;892;3
0;0;0;0;0;0;0;0;0;0;0;0;18;16;18;943;4
0;0;26;31;29;37;20;30;19;20;27;0;6;7;5;1199;5
0;0;15;18;11;22;24;30;18;17;14;0;12;11;6;1396;6
0;5;63;78;64;41;60;54;60;69;63;3;144;160;181;2435;7
0;1;27;38;35;49;40;37;35;44;32;3;107;91;85;3057;8
0;0;1;1;2;1;1;2;3;2;0;0;48;47;45;3209;9
0;4;4;4;6;8;4;3;6;2;3;166;175;173;177;3939;10
0;2;0;0;1;0;1;0;2;0;0;33;48;36;44;4103;11
0;0;1;0;1;4;1;4;2;1;4;119;123;110;128;4600;12
0;2;1;1;0;0;0;0;2;1;0;188;198;189;199;5378;13
0;0;0;0;0;0;1;1;0;3;2;35;52;39;44;5554;14
0;2;4;0;1;2;1;2;4;1;4;109;116;98;122;6017;15
0;0;0;0;1;0;0;0;0;0;0;12;15;9;15;6068;16
0;1;3;2;3;1;0;4;1;1;1;112;122;102;130;6549;17
0;0;10;11;13;6;11;13;10;7;13;42;39;42;45;6810;18
0;0;27;15;22;25;25;27;29;26;29;266;271;267;256;8094;19
0;0;2;4;3;3;2;2;5;3;3;59;78;65;69;8391;20
0;4;15;15;12;13;17;16;12;14;9;798;787;776;750;11624;21
0;1;5;2;7;4;6;6;5;6;2;556;549;520;540;13831;22
0;3;5;9;4;12;7;9;8;5;12;547;549;538;531;16066;23
0;3;5;6;4;2;4;7;4;4;2;581;568;556;562;18370;24
0;0;0;1;3;1;0;2;1;2;2;119;127;113;131;18871;25
0;1;11;7;4;5;5;8;8;8;4;1265;1216;1215;1214;23840;26
0;6;19;6;4;7;4;9;8;5;5;548;566;558;541;26119;27
0;2;67;9;6;12;7;7;8;7;8;501;505;476;464;28195;28
0;0;2;2;0;0;2;0;0;2;2;758;734;743;739;31181;29
0;0;0;0;0;0;0;0;0;0;0;21;25;29;22;31280;30
0;0;5;0;0;0;0;0;0;0;0;20;25;22;21;31274;30
0;0;234;32;41;35;39;46;37;34;44;1154;1144;1147;1121;36381;31
0;0;18;12;5;4;5;8;3;9;4;1120;1010;1053;1061;35585;31
0;0;0;0;0;0;0;0;0;0;0;149;155;184;146;36218;32
0;0;0;0;0;0;0;0;0;0;0;151;151;183;151;36220;32
