Felipe Lira Santana Silva - Bolsista do CNPQ modalidade PIBIC - Unifei
Projeto de Pesquisa: Futebol Simulado 2D-Uma aplicação de Aprendizagem por reforço
Estados: 82944 Ações: 13
Resultados da Aprendizagem por Reforco
Jogador 6
Inicio
Gols a favor;Gols contra;Contagem das ações 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12;Iteracoes;Numero do Jogo
0;0;0;0;0;0;0;0;0;0;0;0;97;94;99;289;0
0;1;3;6;10;4;9;12;10;15;8;49;86;73;78;651;1
0;0;0;0;0;0;0;0;0;0;0;0;23;27;26;726;2
0;0;0;0;0;0;0;0;0;0;0;0;56;61;68;910;3
0;0;0;0;0;0;0;0;0;0;0;0;19;19;16;963;4
0;0;23;24;29;26;31;21;29;36;36;3;6;9;8;1243;5
0;0;14;30;17;20;15;21;18;19;14;0;11;10;10;1441;6
0;5;54;68;62;57;60;67;56;53;68;17;151;166;155;2474;7
0;1;38;31;42;32;31;43;33;47;36;27;86;83;87;3089;8
0;0;0;0;0;0;0;1;0;1;0;15;44;43;51;3243;9
0;4;13;4;7;9;7;8;6;10;8;163;167;148;180;3972;10
0;2;0;1;0;0;2;1;1;0;0;28;40;43;46;4133;11
0;0;7;2;6;8;5;10;5;8;5;102;112;103;120;4625;12
0;2;12;11;9;17;8;3;12;10;10;158;176;151;182;5383;13
0;0;2;1;6;2;0;1;0;2;5;27;37;42;44;5551;14
0;2;3;3;5;6;4;8;4;6;11;88;111;93;121;6013;15
0;0;1;0;0;0;1;0;0;0;0;9;14;14;13;6064;16
0;1;10;4;5;10;8;5;6;8;6;98;108;96;114;6541;17
0;0;0;0;0;0;0;0;0;0;0;53;67;72;71;6803;18
0;0;29;24;24;26;27;33;28;22;35;248;271;246;271;8086;19
0;0;7;7;7;5;8;7;4;9;5;56;64;57;62;8383;20
0;4;49;40;41;49;38;50;47;50;34;683;684;670;726;11543;21
0;1;30;27;42;40;30;28;24;34;38;439;501;464;506;13745;22
0;3;34;36;36;31;23;22;34;26;30;450;505;468;531;15970;23
0;3;24;19;19;18;19;21;24;20;25;486;547;499;564;18254;24
0;0;9;4;3;7;8;10;7;9;6;101;112;101;129;18759;25
0;1;60;57;48;55;57;44;52;43;60;1091;1149;1125;1114;23713;26
0;6;28;28;24;30;26;32;42;33;25;510;484;516;473;25963;27
0;2;74;32;27;47;36;45;31;41;29;447;455;411;417;28054;28
