Felipe Lira Santana Silva - Bolsista do CNPQ modalidade PIBIC - Unifei
Projeto de Pesquisa: Futebol Simulado 2D-Uma aplicação de Aprendizagem por reforço
Estados: 82944 Ações: 13
Resultados da Aprendizagem por Reforco
Jogador 10
Inicio
Gols a favor;Gols contra;Contagem das ações 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12;Iteracoes;Numero do Jogo
0;0;0;0;0;0;0;0;0;0;0;73;70;68;77;287;0
0;1;14;14;15;21;14;12;20;21;17;4;68;72;70;648;1
0;0;0;0;0;0;0;0;0;0;0;1;26;32;30;736;2
0;0;0;0;0;0;0;0;0;0;0;0;60;64;76;935;3
0;0;0;0;0;0;0;0;0;0;0;17;6;14;17;988;4
0;0;16;33;24;39;35;20;27;30;37;0;9;4;10;1271;5
0;0;26;19;17;15;23;10;19;22;19;0;9;7;10;1466;6
0;5;58;74;50;52;45;72;69;63;58;27;146;172;143;2494;7
0;1;35;48;29;35;39;39;37;41;43;11;87;87;99;3123;8
0;0;2;1;2;0;0;1;1;2;0;3;40;55;49;3278;9
0;4;8;12;12;4;7;5;3;5;3;174;177;165;173;4025;10
0;2;2;3;3;0;2;1;0;4;1;45;30;32;39;4186;11
0;0;6;2;3;3;2;1;5;2;3;122;118;113;115;4680;12
0;2;3;5;1;1;3;4;3;2;1;184;186;188;184;5444;13
0;0;2;3;1;1;2;1;5;0;2;44;33;32;41;5610;14
0;2;7;4;6;5;6;10;9;3;5;105;105;97;105;6076;15
0;0;2;1;0;0;0;0;0;0;0;15;6;13;15;6127;16
0;1;8;5;3;1;1;3;6;4;5;121;115;113;105;6616;17
0;0;2;1;0;0;4;0;0;0;3;66;55;63;68;6877;18
0;0;18;20;24;36;37;33;24;20;28;253;256;279;256;8160;19
0;0;7;11;8;6;13;11;15;7;17;53;53;44;53;8457;20
0;4;33;34;19;34;33;28;21;22;33;723;734;755;776;11701;21
0;1;6;1;4;6;6;4;3;1;4;540;543;560;569;13947;22
0;3;16;7;7;11;11;9;8;12;12;538;533;562;575;16247;23
0;3;9;9;2;7;13;12;12;4;7;543;537;551;576;18528;24
0;0;2;2;2;4;1;2;0;1;1;126;125;122;122;19037;25
0;1;80;94;78;88;94;86;74;82;96;1029;1039;1080;1072;24028;26
0;6;45;12;17;12;11;11;17;13;27;529;541;517;547;26326;27
0;0;5;11;5;5;7;8;5;12;8;37;37;39;43;26547;28
